DateTime,Temperature (Â°C),Humidity (%),Wind Speed (m/s),Weather Condition
2025-05-12 18:00:00,32.29,25,4.35,clear sky
2025-05-12 21:00:00,31.6,26,2.75,clear sky
2025-05-13 00:00:00,30.22,27,2.33,clear sky
2025-05-13 03:00:00,35.27,20,2.74,clear sky
2025-05-13 06:00:00,41.06,14,1.57,clear sky
2025-05-13 09:00:00,42.97,10,2.45,clear sky
2025-05-13 12:00:00,40.53,12,4.69,few clouds
2025-05-13 15:00:00,34.84,19,3.48,few clouds
2025-05-13 18:00:00,33.2,21,2.58,scattered clouds
2025-05-13 21:00:00,31.28,24,2.82,clear sky
2025-05-14 00:00:00,29.15,28,1.89,clear sky
2025-05-14 03:00:00,34.91,19,2.73,clear sky
2025-05-14 06:00:00,41.73,11,1.17,clear sky
2025-05-14 09:00:00,43.34,10,2.55,clear sky
2025-05-14 12:00:00,43.28,9,3.26,clear sky
2025-05-14 15:00:00,38.26,12,3.36,clear sky
2025-05-14 18:00:00,35.0,14,1.56,clear sky
2025-05-14 21:00:00,33.36,15,0.76,clear sky
2025-05-15 00:00:00,32.15,16,1.02,clear sky
2025-05-15 03:00:00,37.73,12,1.68,clear sky
2025-05-15 06:00:00,43.93,8,0.83,clear sky
2025-05-15 09:00:00,45.39,7,2.36,clear sky
2025-05-15 12:00:00,45.22,6,3.94,clear sky
2025-05-15 15:00:00,39.55,9,2.86,clear sky
2025-05-15 18:00:00,36.27,11,1.39,clear sky
2025-05-15 21:00:00,34.86,12,2.33,clear sky
2025-05-16 00:00:00,32.34,15,2.07,clear sky
2025-05-16 03:00:00,37.7,11,2.63,clear sky
2025-05-16 06:00:00,43.79,8,2.31,clear sky
2025-05-16 09:00:00,46.58,6,1.76,clear sky
2025-05-16 12:00:00,46.1,5,3.24,clear sky
2025-05-16 15:00:00,39.91,9,4.02,clear sky
2025-05-16 18:00:00,35.66,15,2.62,clear sky
2025-05-16 21:00:00,34.95,15,2.78,scattered clouds
2025-05-17 00:00:00,32.93,19,1.92,few clouds
2025-05-17 03:00:00,38.08,21,5.43,clear sky
2025-05-17 06:00:00,43.6,14,3.67,clear sky
2025-05-17 09:00:00,46.77,9,3.33,clear sky
2025-05-17 12:00:00,46.73,7,3.71,scattered clouds
2025-05-17 15:00:00,37.53,19,5.86,scattered clouds
